date,name,count,damage
200001,"Alabama",3,0.0
200002,"Alabama",4,0.0
200003,"Alabama",8,0.0
200004,"Alabama",13,0.0
200005,"Alabama",0,0.0
200006,"Alabama",0,0.0
200007,"Alabama",0,0.0
200008,"Alabama",0,0.0
200009,"Alabama",0,0.0
200010,"Alabama",0,0.0
200011,"Alabama",8,0.0
200012,"Alabama",16,0.0
200001,"Alaska",0,0.0
200002,"Alaska",0,0.0
200003,"Alaska",0,0.0
200004,"Alaska",0,0.0
200005,"Alaska",0,0.0
200006,"Alaska",0,0.0
200007,"Alaska",0,0.0
200008,"Alaska",0,0.0
200009,"Alaska",0,0.0
200010,"Alaska",0,0.0
200011,"Alaska",0,0.0
200012,"Alaska",0,0.0
200001,"Arizona",0,0.0
200002,"Arizona",0,0.0
200003,"Arizona",0,0.0
200004,"Arizona",0,0.0
200005,"Arizona",0,0.0
200006,"Arizona",0,0.0
200007,"Arizona",0,0.0
200008,"Arizona",0,0.0
200009,"Arizona",0,0.0
200010,"Arizona",0,0.0
200011,"Arizona",0,0.0
200012,"Arizona",0,0.0
200001,"Arkansas",5,0.0
200002,"Arkansas",9,0.0
200003,"Arkansas",2,0.0
200004,"Arkansas",6,0.0
200005,"Arkansas",19,0.0
200006,"Arkansas",0,0.0
200007,"Arkansas",1,0.0
200008,"Arkansas",0,0.0
200009,"Arkansas",0,0.0
200010,"Arkansas",0,0.0
200011,"Arkansas",0,0.0
200012,"Arkansas",0,0.0
200001,"California",0,0.0
200002,"California",5,0.0
200003,"California",0,0.0
200004,"California",0,0.0
200005,"California",0,0.0
200006,"California",0,0.0
200007,"California",1,0.0
200008,"California",2,0.0
200009,"California",0,0.0
200010,"California",0,0.0
200011,"California",1,0.0
200012,"California",0,0.0
200001,"Colorado",0,0.0
200002,"Colorado",0,0.0
200003,"Colorado",0,0.0
200004,"Colorado",2,0.0
200005,"Colorado",28,0.0
200006,"Colorado",8,0.0
200007,"Colorado",19,0.0
200008,"Colorado",0,0.0
200009,"Colorado",3,0.0
200010,"Colorado",0,0.0
200011,"Colorado",0,0.0
200012,"Colorado",0,0.0
200001,"Connecticut",0,0.0
200002,"Connecticut",0,0.0
200003,"Connecticut",0,0.0
200004,"Connecticut",0,0.0
200005,"Connecticut",0,0.0
200006,"Connecticut",0,0.0
200007,"Connecticut",0,0.0
200008,"Connecticut",1,0.0
200009,"Connecticut",0,0.0
200010,"Connecticut",0,0.0
200011,"Connecticut",0,0.0
200012,"Connecticut",0,0.0
200001,"Delaware",0,0.0
200002,"Delaware",0,0.0
200003,"Delaware",0,0.0
200004,"Delaware",0,0.0
200005,"Delaware",0,0.0
200006,"Delaware",0,0.0
200007,"Delaware",0,0.0
200008,"Delaware",0,0.0
200009,"Delaware",0,0.0
200010,"Delaware",0,0.0
200011,"Delaware",0,0.0
200012,"Delaware",0,0.0
200001,"Florida",1,0.0
200002,"Florida",3,0.0
200003,"Florida",8,0.0
200004,"Florida",6,0.0
200005,"Florida",2,0.0
200006,"Florida",10,0.0
200007,"Florida",13,0.0
200008,"Florida",7,0.0
200009,"Florida",20,0.0
200010,"Florida",4,0.0
200011,"Florida",1,0.0
200012,"Florida",3,0.0
200001,"Georgia",0,0.0
200002,"Georgia",9,0.0
200003,"Georgia",4,0.0
200004,"Georgia",9,0.0
200005,"Georgia",0,0.0
200006,"Georgia",1,0.0
200007,"Georgia",4,0.0
200008,"Georgia",0,0.0
200009,"Georgia",3,0.0
200010,"Georgia",0,0.0
200011,"Georgia",0,0.0
200012,"Georgia",3,0.0
200001,"Hawaii",0,0.0
200002,"Hawaii",0,0.0
200003,"Hawaii",0,0.0
200004,"Hawaii",0,0.0
200005,"Hawaii",0,0.0
200006,"Hawaii",0,0.0
200007,"Hawaii",0,0.0
200008,"Hawaii",0,0.0
200009,"Hawaii",0,0.0
200010,"Hawaii",0,0.0
200011,"Hawaii",0,0.0
200012,"Hawaii",0,0.0
200001,"Idaho",0,0.0
200002,"Idaho",6,0.0
200003,"Idaho",0,0.0
200004,"Idaho",0,0.0
200005,"Idaho",0,0.0
200006,"Idaho",0,0.0
200007,"Idaho",2,0.0
200008,"Idaho",4,0.0
200009,"Idaho",1,0.0
200010,"Idaho",0,0.0
200011,"Idaho",0,0.0
200012,"Idaho",1,0.0
200001,"Illinois",0,0.0
200002,"Illinois",0,0.0
200003,"Illinois",0,0.0
200004,"Illinois",6,0.0
200005,"Illinois",37,0.0
200006,"Illinois",8,0.0
200007,"Illinois",4,0.0
200008,"Illinois",1,0.0
200009,"Illinois",1,0.0
200010,"Illinois",1,0.0
200011,"Illinois",0,0.0
200012,"Illinois",0,0.0
200001,"Indiana",1,0.0
200002,"Indiana",0,0.0
200003,"Indiana",0,0.0
200004,"Indiana",0,0.0
200005,"Indiana",3,0.0
200006,"Indiana",9,0.0
200007,"Indiana",2,0.0
200008,"Indiana",0,0.0
200009,"Indiana",0,0.0
200010,"Indiana",0,0.0
200011,"Indiana",0,0.0
200012,"Indiana",0,0.0
200001,"Iowa",0,0.0
200002,"Iowa",0,0.0
200003,"Iowa",0,0.0
200004,"Iowa",0,0.0
200005,"Iowa",26,1750.0
200006,"Iowa",13,0.0
200007,"Iowa",8,0.0
200008,"Iowa",0,0.0
200009,"Iowa",1,0.0
200010,"Iowa",3,0.0
200011,"Iowa",0,0.0
200012,"Iowa",0,0.0
200001,"Kansas",0,0.0
200002,"Kansas",0,0.0
200003,"Kansas",10,0.0
200004,"Kansas",11,0.0
200005,"Kansas",9,0.0
200006,"Kansas",15,0.0
200007,"Kansas",3,0.0
200008,"Kansas",0,0.0
200009,"Kansas",0,0.0
200010,"Kansas",22,0.0
200011,"Kansas",0,0.0
200012,"Kansas",0,0.0
200001,"Kentucky",3,0.0
200002,"Kentucky",0,0.0
200003,"Kentucky",0,0.0
200004,"Kentucky",3,0.0
200005,"Kentucky",9,0.0
200006,"Kentucky",0,0.0
200007,"Kentucky",1,0.0
200008,"Kentucky",1,0.0
200009,"Kentucky",0,0.0
200010,"Kentucky",0,0.0
200011,"Kentucky",7,0.0
200012,"Kentucky",0,0.0
200001,"Louisiana",0,0.0
200002,"Louisiana",0,0.0
200003,"Louisiana",3,0.0
200004,"Louisiana",29,0.0
200005,"Louisiana",1,0.0
200006,"Louisiana",2,0.0
200007,"Louisiana",3,0.0
200008,"Louisiana",6,0.0
200009,"Louisiana",0,0.0
200010,"Louisiana",0,0.0
200011,"Louisiana",6,0.0
200012,"Louisiana",0,0.0
200001,"Maine",0,0.0
200002,"Maine",0,0.0
200003,"Maine",0,0.0
200004,"Maine",0,0.0
200005,"Maine",0,0.0
200006,"Maine",0,0.0
200007,"Maine",1,0.0
200008,"Maine",1,0.0
200009,"Maine",0,0.0
200010,"Maine",0,0.0
200011,"Maine",0,0.0
200012,"Maine",0,0.0
200001,"Maryland",0,0.0
200002,"Maryland",0,0.0
200003,"Maryland",0,0.0
200004,"Maryland",1,0.0
200005,"Maryland",3,0.0
200006,"Maryland",2,0.0
200007,"Maryland",4,0.0
200008,"Maryland",0,0.0
200009,"Maryland",0,0.0
200010,"Maryland",0,0.0
200011,"Maryland",0,0.0
200012,"Maryland",0,0.0
200001,"Massachusetts",0,0.0
200002,"Massachusetts",0,0.0
200003,"Massachusetts",0,0.0
200004,"Massachusetts",0,0.0
200005,"Massachusetts",0,0.0
200006,"Massachusetts",1,0.0
200007,"Massachusetts",0,0.0
200008,"Massachusetts",0,0.0
200009,"Massachusetts",0,0.0
200010,"Massachusetts",0,0.0
200011,"Massachusetts",0,0.0
200012,"Massachusetts",0,0.0
200001,"Michigan",0,0.0
200002,"Michigan",0,0.0
200003,"Michigan",0,0.0
200004,"Michigan",0,0.0
200005,"Michigan",4,0.0
200006,"Michigan",2,0.0
200007,"Michigan",0,0.0
200008,"Michigan",0,0.0
200009,"Michigan",0,0.0
200010,"Michigan",0,0.0
200011,"Michigan",0,0.0
200012,"Michigan",0,0.0
200001,"Minnesota",0,0.0
200002,"Minnesota",0,0.0
200003,"Minnesota",0,0.0
200004,"Minnesota",2,0.0
200005,"Minnesota",5,0.0
200006,"Minnesota",0,0.0
200007,"Minnesota",19,0.0
200008,"Minnesota",6,0.0
200009,"Minnesota",0,0.0
200010,"Minnesota",0,0.0
200011,"Minnesota",1,0.0
200012,"Minnesota",0,0.0
200001,"Mississippi",7,0.0
200002,"Mississippi",5,0.0
200003,"Mississippi",1,0.0
200004,"Mississippi",4,0.0
200005,"Mississippi",0,0.0
200006,"Mississippi",0,0.0
200007,"Mississippi",7,0.0
200008,"Mississippi",1,0.0
200009,"Mississippi",2,0.0
200010,"Mississippi",0,0.0
200011,"Mississippi",2,0.0
200012,"Mississippi",1,0.0
200001,"Missouri",0,0.0
200002,"Missouri",8,0.0
200003,"Missouri",1,0.0
200004,"Missouri",2,0.0
200005,"Missouri",10,0.0
200006,"Missouri",4,0.0
200007,"Missouri",3,0.0
200008,"Missouri",0,0.0
200009,"Missouri",0,0.0
200010,"Missouri",0,0.0
200011,"Missouri",0,0.0
200012,"Missouri",0,0.0
200001,"Montana",0,0.0
200002,"Montana",0,0.0
200003,"Montana",0,0.0
200004,"Montana",0,0.0
200005,"Montana",0,0.0
200006,"Montana",2,0.0
200007,"Montana",7,0.0
200008,"Montana",0,0.0
200009,"Montana",1,0.0
200010,"Montana",0,0.0
200011,"Montana",0,0.0
200012,"Montana",0,0.0
200001,"Nebraska",0,0.0
200002,"Nebraska",0,0.0
200003,"Nebraska",0,0.0
200004,"Nebraska",5,0.0
200005,"Nebraska",9,0.0
200006,"Nebraska",22,0.0
200007,"Nebraska",7,0.0
200008,"Nebraska",0,0.0
200009,"Nebraska",0,0.0
200010,"Nebraska",21,0.0
200011,"Nebraska",1,0.0
200012,"Nebraska",0,0.0
200001,"Nevada",0,0.0
200002,"Nevada",1,0.0
200003,"Nevada",0,0.0
200004,"Nevada",0,0.0
200005,"Nevada",0,0.0
200006,"Nevada",0,0.0
200007,"Nevada",0,0.0
200008,"Nevada",1,0.0
200009,"Nevada",0,0.0
200010,"Nevada",0,0.0
200011,"Nevada",0,0.0
200012,"Nevada",0,0.0
200001,"New Hampshire",0,0.0
200002,"New Hampshire",0,0.0
200003,"New Hampshire",0,0.0
200004,"New Hampshire",0,0.0
200005,"New Hampshire",0,0.0
200006,"New Hampshire",0,0.0
200007,"New Hampshire",0,0.0
200008,"New Hampshire",0,0.0
200009,"New Hampshire",0,0.0
200010,"New Hampshire",0,0.0
200011,"New Hampshire",0,0.0
200012,"New Hampshire",0,0.0
200001,"New Jersey",0,0.0
200002,"New Jersey",0,0.0
200003,"New Jersey",0,0.0
200004,"New Jersey",0,0.0
200005,"New Jersey",0,0.0
200006,"New Jersey",0,0.0
200007,"New Jersey",0,0.0
200008,"New Jersey",0,0.0
200009,"New Jersey",0,0.0
200010,"New Jersey",0,0.0
200011,"New Jersey",0,0.0
200012,"New Jersey",0,0.0
200001,"New Mexico",0,0.0
200002,"New Mexico",0,0.0
200003,"New Mexico",0,0.0
200004,"New Mexico",0,0.0
200005,"New Mexico",0,0.0
200006,"New Mexico",2,0.0
200007,"New Mexico",1,0.0
200008,"New Mexico",0,0.0
200009,"New Mexico",0,0.0
200010,"New Mexico",2,0.0
200011,"New Mexico",0,0.0
200012,"New Mexico",0,0.0
200001,"New York",0,0.0
200002,"New York",0,0.0
200003,"New York",0,0.0
200004,"New York",0,0.0
200005,"New York",2,0.0
200006,"New York",2,0.0
200007,"New York",0,0.0
200008,"New York",0,0.0
200009,"New York",1,0.0
200010,"New York",0,0.0
200011,"New York",0,0.0
200012,"New York",0,0.0
200001,"North Carolina",0,0.0
200002,"North Carolina",2,0.0
200003,"North Carolina",3,0.0
200004,"North Carolina",5,0.0
200005,"North Carolina",7,0.0
200006,"North Carolina",2,0.0
200007,"North Carolina",1,0.0
200008,"North Carolina",0,0.0
200009,"North Carolina",1,0.0
200010,"North Carolina",0,0.0
200011,"North Carolina",0,0.0
200012,"North Carolina",3,0.0
200001,"North Dakota",0,0.0
200002,"North Dakota",0,0.0
200003,"North Dakota",0,0.0
200004,"North Dakota",0,0.0
200005,"North Dakota",0,0.0
200006,"North Dakota",13,0.0
200007,"North Dakota",10,0.0
200008,"North Dakota",5,0.0
200009,"North Dakota",0,0.0
200010,"North Dakota",0,0.0
200011,"North Dakota",8,0.0
200012,"North Dakota",0,0.0
200001,"Ohio",0,0.0
200002,"Ohio",0,0.0
200003,"Ohio",0,0.0
200004,"Ohio",0,0.0
200005,"Ohio",9,0.0
200006,"Ohio",4,0.0
200007,"Ohio",1,0.0
200008,"Ohio",4,0.0
200009,"Ohio",9,0.0
200010,"Ohio",0,0.0
200011,"Ohio",0,0.0
200012,"Ohio",0,0.0
200001,"Oklahoma",0,0.0
200002,"Oklahoma",3,0.0
200003,"Oklahoma",15,0.0
200004,"Oklahoma",6,0.0
200005,"Oklahoma",12,0.0
200006,"Oklahoma",3,0.0
200007,"Oklahoma",0,0.0
200008,"Oklahoma",0,0.0
200009,"Oklahoma",0,0.0
200010,"Oklahoma",7,0.0
200011,"Oklahoma",0,0.0
200012,"Oklahoma",0,0.0
200001,"Oregon",0,0.0
200002,"Oregon",0,0.0
200003,"Oregon",0,0.0
200004,"Oregon",1,0.0
200005,"Oregon",0,0.0
200006,"Oregon",0,0.0
200007,"Oregon",0,0.0
200008,"Oregon",0,0.0
200009,"Oregon",0,0.0
200010,"Oregon",2,0.0
200011,"Oregon",0,0.0
200012,"Oregon",0,0.0
200001,"Pennsylvania",0,0.0
200002,"Pennsylvania",0,0.0
200003,"Pennsylvania",0,0.0
200004,"Pennsylvania",0,0.0
200005,"Pennsylvania",1,0.0
200006,"Pennsylvania",4,0.0
200007,"Pennsylvania",1,0.0
200008,"Pennsylvania",0,0.0
200009,"Pennsylvania",0,0.0
200010,"Pennsylvania",0,0.0
200011,"Pennsylvania",0,0.0
200012,"Pennsylvania",0,0.0
200001,"Rhode Island",0,0.0
200002,"Rhode Island",0,0.0
200003,"Rhode Island",0,0.0
200004,"Rhode Island",0,0.0
200005,"Rhode Island",0,0.0
200006,"Rhode Island",0,0.0
200007,"Rhode Island",0,0.0
200008,"Rhode Island",1,0.0
200009,"Rhode Island",0,0.0
200010,"Rhode Island",0,0.0
200011,"Rhode Island",0,0.0
200012,"Rhode Island",0,0.0
200001,"South Carolina",0,0.0
200002,"South Carolina",1,0.0
200003,"South Carolina",4,0.0
200004,"South Carolina",1,0.0
200005,"South Carolina",1,0.0
200006,"South Carolina",3,0.0
200007,"South Carolina",3,0.0
200008,"South Carolina",1,0.0
200009,"South Carolina",6,0.0
200010,"South Carolina",0,0.0
200011,"South Carolina",0,0.0
200012,"South Carolina",1,0.0
200001,"South Dakota",0,0.0
200002,"South Dakota",0,0.0
200003,"South Dakota",0,0.0
200004,"South Dakota",0,0.0
200005,"South Dakota",2,0.0
200006,"South Dakota",1,0.0
200007,"South Dakota",11,0.0
200008,"South Dakota",4,0.0
200009,"South Dakota",0,0.0
200010,"South Dakota",0,0.0
200011,"South Dakota",0,0.0
200012,"South Dakota",0,0.0
200001,"Tennessee",0,0.0
200002,"Tennessee",1,0.0
200003,"Tennessee",1,0.0
200004,"Tennessee",4,0.0
200005,"Tennessee",19,0.0
200006,"Tennessee",0,0.0
200007,"Tennessee",1,0.0
200008,"Tennessee",0,0.0
200009,"Tennessee",0,0.0
200010,"Tennessee",0,0.0
200011,"Tennessee",0,0.0
200012,"Tennessee",1,0.0
200001,"Texas",0,0.0
200002,"Texas",7,0.0
200003,"Texas",49,0.0
200004,"Texas",33,0.0
200005,"Texas",23,0.0
200006,"Texas",8,0.0
200007,"Texas",3,0.0
200008,"Texas",0,0.0
200009,"Texas",0,0.0
200010,"Texas",10,0.0
200011,"Texas",20,0.0
200012,"Texas",1,0.0
200001,"Utah",0,0.0
200002,"Utah",0,0.0
200003,"Utah",0,0.0
200004,"Utah",1,0.0
200005,"Utah",2,0.0
200006,"Utah",0,0.0
200007,"Utah",0,0.0
200008,"Utah",0,0.0
200009,"Utah",2,0.0
200010,"Utah",0,0.0
200011,"Utah",0,0.0
200012,"Utah",0,0.0
200001,"Vermont",0,0.0
200002,"Vermont",0,0.0
200003,"Vermont",0,0.0
200004,"Vermont",0,0.0
200005,"Vermont",0,0.0
200006,"Vermont",0,0.0
200007,"Vermont",0,0.0
200008,"Vermont",0,0.0
200009,"Vermont",0,0.0
200010,"Vermont",0,0.0
200011,"Vermont",0,0.0
200012,"Vermont",0,0.0
200001,"Virginia",0,0.0
200002,"Virginia",0,0.0
200003,"Virginia",0,0.0
200004,"Virginia",2,0.0
200005,"Virginia",4,0.0
200006,"Virginia",0,0.0
200007,"Virginia",4,0.0
200008,"Virginia",2,0.0
200009,"Virginia",0,0.0
200010,"Virginia",0,0.0
200011,"Virginia",0,0.0
200012,"Virginia",0,0.0
200001,"Washington",1,0.0
200002,"Washington",0,0.0
200003,"Washington",0,0.0
200004,"Washington",0,0.0
200005,"Washington",2,0.0
200006,"Washington",0,0.0
200007,"Washington",0,0.0
200008,"Washington",0,0.0
200009,"Washington",0,0.0
200010,"Washington",0,0.0
200011,"Washington",0,0.0
200012,"Washington",0,0.0
200001,"West Virginia",0,0.0
200002,"West Virginia",0,0.0
200003,"West Virginia",0,0.0
200004,"West Virginia",0,0.0
200005,"West Virginia",1,0.0
200006,"West Virginia",0,0.0
200007,"West Virginia",0,0.0
200008,"West Virginia",3,0.0
200009,"West Virginia",0,0.0
200010,"West Virginia",0,0.0
200011,"West Virginia",0,0.0
200012,"West Virginia",0,0.0
200001,"Wisconsin",0,0.0
200002,"Wisconsin",0,0.0
200003,"Wisconsin",1,4570.0
200004,"Wisconsin",0,0.0
200005,"Wisconsin",1,0.0
200006,"Wisconsin",6,1110.0
200007,"Wisconsin",10,1530.0
200008,"Wisconsin",3,0.0
200009,"Wisconsin",0,0.0
200010,"Wisconsin",0,0.0
200011,"Wisconsin",0,0.0
200012,"Wisconsin",0,0.0
200001,"Wyoming",0,0.0
200002,"Wyoming",0,0.0
200003,"Wyoming",0,0.0
200004,"Wyoming",1,0.0
200005,"Wyoming",4,0.0
200006,"Wyoming",0,0.0
200007,"Wyoming",0,0.0
200008,"Wyoming",0,0.0
200009,"Wyoming",0,0.0
200010,"Wyoming",0,0.0
200011,"Wyoming",0,0.0
200012,"Wyoming",0,0.0
200001,"Average",0,0
200002,"Average",1,0
200003,"Average",2,91
200004,"Average",3,0
200005,"Average",5,35
200006,"Average",2,22
200007,"Average",3,30
200008,"Average",1,0
200009,"Average",1,0
200010,"Average",1,0
200011,"Average",1,0
200012,"Average",0,0
200101,"Alabama",1,0.0
200102,"Alabama",1,0.0
200103,"Alabama",2,0.0
200104,"Alabama",0,0.0
200105,"Alabama",2,0.0
200106,"Alabama",2,0.0
200107,"Alabama",0,0.0
200108,"Alabama",1,0.0
200109,"Alabama",0,0.0
200110,"Alabama",9,0.0
200111,"Alabama",44,0.0
200112,"Alabama",1,0.0
200101,"Alaska",0,0.0
200102,"Alaska",0,0.0
200103,"Alaska",0,0.0
200104,"Alaska",0,0.0
200105,"Alaska",0,0.0
200106,"Alaska",0,0.0
200107,"Alaska",0,0.0
200108,"Alaska",0,0.0
200109,"Alaska",0,0.0
200110,"Alaska",0,0.0
200111,"Alaska",0,0.0
200112,"Alaska",0,0.0
200101,"Arizona",0,0.0
200102,"Arizona",0,0.0
